x,y
0.0,5.0
0.10101010101010101,5.504192101290523
0.20202020202020202,6.003244282613427
0.30303030303030304,6.492069022238205
0.40404040404040403,6.9656830607416484
0.5050505050505051,7.419258202189673
0.6060606060606061,7.8481705345448285
0.7070707070707071,8.248047567528532
0.8080808080808081,8.614812807397303
0.9090909090909091,8.944727314221286
1.0101010101010102,9.234427818014918
1.1111111111111112,9.480961005149782
1.2121212121212122,9.681813625521425
1.3131313131313131,9.834938113546498
1.4141414141414141,9.93877346180042
1.5151515151515151,9.992261134501948
1.6161616161616161,9.994855858616784
1.7171717171717171,9.9465311825717
1.8181818181818181,9.84777974591162
1.9191919191919191,9.699608257150656
2.0202020202020203,9.503527231014777
2.121212121212121,9.261535589698376
2.2222222222222223,8.976100285115246
2.323232323232323,8.650131149882231
2.4242424242424243,8.286951233413877
2.525252525252525,7.890262925532866
2.6262626262626263,7.464110212944617
2.727272727272727,7.012837453347483
2.8282828282828283,6.541045087450384
2.929292929292929,6.053542740385964
3.0303030303030303,5.555300190620649
3.131313131313131,5.051396706202674
3.2323232323232323,4.546969264832962
3.3333333333333335,4.047160185622573
3.4343434343434343,3.5570647063978376
3.5353535353535355,3.0816790409694383
3.6363636363636362,2.625849445888803
3.7373737373737375,2.1942228159239914
3.8383838383838382,1.7911993119030614
3.9393939393939394,1.4208875038540492
4.040404040404041,1.087062486728989
4.141414141414141,0.7931273956956497
4.242424242424242,0.5420787133242992
4.343434343434343,0.33647572234083256
4.444444444444445,0.1784144153561087
4.545454545454545,0.06950612754535168
4.646464646464646,0.010861110103936866
4.747474747474747,0.003077211937821289
4.848484848484849,0.0462337849716139
4.94949494949495,0.13989087520583343
5.05050505050505,0.28309370777000176
5.151515151515151,0.47438242024931654
5.252525252525253,0.7118069450597417
5.353535353535354,0.9929468891551512
5.454545454545454,1.3149362084054332
5.555555555555555,1.6744924251058881
5.656565656565657,2.0679500907638246
5.757575757575758,2.4912981530304434
5.858585858585858,2.940220845845686
5.959595959595959,3.4101416859469067
6.0606060606060606,3.8962701272246836
6.161616161616162,4.3936503973141665
6.262626262626262,4.8972120185637
6.363636363636363,5.401821498351409
6.4646464646464645,5.9023346617995545
6.565656565656566,6.393649093387786
6.666666666666667,6.870756152856099
6.767676767676767,7.3287920351282585
6.8686868686868685,7.763087353732029
6.96969696969697,8.16921474224453
7.070707070707071,8.543033988496092
7.171717171717171,8.880734241417903
7.2727272727272725,9.178872860261293
7.373737373737374,9.434410510145394
7.474747474747475,9.644742146156258
7.575757575757575,9.807723570134119
7.6767676767676765,9.921693289419117
7.777777777777778,9.985489454719374
7.878787878787879,9.998461704430557
7.979797979797979,9.960477794661614
8.080808080808081,9.871924947377678
8.181818181818182,9.733705902916771
8.282828282828282,9.547229717122313
8.383838383838384,9.314397396908918
8.484848484848484,9.037582520697812
8.585858585858587,8.719607041284222
8.686868686868687,8.363712517811324
8.787878787878787,7.973527070122488
8.88888888888889,7.553028392371415
8.98989898989899,7.106503202943035
9.09090909090909,6.638503544067499
9.191919191919192,6.153800376625259
9.292929292929292,5.657334943214792
9.393939393939394,5.154168395305705
9.494949494949495,4.649430197996766
9.595959595959595,4.148265838359517
9.696969696969697,3.65578437044808
9.797979797979798,3.1770063317205564
9.8989898989899,2.716812561831131
10.0,2.2798944455531513
